,playlist_name,track_name,track_artists,popularity,track_number,duration_ms
0,"Juneteenth: Songs of Freedom, Voices of Change",Respect,['Aretha Franklin'],73,1,147600
1,"Juneteenth: Songs of Freedom, Voices of Change",Say It Loud - I'm Black And I'm Proud - Pt. 1,['James Brown'],0,14,170893
2,"Juneteenth: Songs of Freedom, Voices of Change",In the Pines (Oakland),['Fantastic Negrito'],40,7,259244
3,"Juneteenth: Songs of Freedom, Voices of Change","To Be Young, Gifted and Black - Remastered",['Nina Simone'],25,12,170973
4,"Juneteenth: Songs of Freedom, Voices of Change",Keep Your Head to the Sky,"['Earth, Wind & Fire']",48,2,311080
5,"Juneteenth: Songs of Freedom, Voices of Change","Get Up, Stand Up",['Bob Marley & The Wailers'],52,14,221933
6,"Juneteenth: Songs of Freedom, Voices of Change",Holler If Ya' Hear Me,['2Pac'],47,1,278173
7,"Juneteenth: Songs of Freedom, Voices of Change",Wake up Everybody,['Harold Melvin & The Blue Notes'],59,1,451400
8,"Juneteenth: Songs of Freedom, Voices of Change",Redemption Song,['Bob Marley & The Wailers'],71,10,233560
9,"Juneteenth: Songs of Freedom, Voices of Change",This Is America,['Childish Gambino'],78,1,225773
10,"Juneteenth: Songs of Freedom, Voices of Change",Black Man,['Stevie Wonder'],43,3,509506
11,"Juneteenth: Songs of Freedom, Voices of Change",We Shall Overcome,['Mahalia Jackson'],35,1,167398
12,"Juneteenth: Songs of Freedom, Voices of Change",Inner City Blues (Make Me Wanna Holler),['Marvin Gaye'],62,9,331960
13,"Juneteenth: Songs of Freedom, Voices of Change",The Knowledge,['Janet Jackson'],30,6,233266
14,"Juneteenth: Songs of Freedom, Voices of Change",Express Yourself,['N.W.A.'],60,8,265101
15,"Juneteenth: Songs of Freedom, Voices of Change",I'll Take You There,['The Staple Singers'],66,11,196826
16,"Juneteenth: Songs of Freedom, Voices of Change",Love Train,"[""The O'Jays""]",69,10,178400
17,"Juneteenth: Songs of Freedom, Voices of Change",Black America Again,"['Common', 'Stevie Wonder']",36,4,365480
18,"Juneteenth: Songs of Freedom, Voices of Change",People Get Ready,['The Impressions'],60,7,163360
19,"Juneteenth: Songs of Freedom, Voices of Change",(Your Love Keeps Lifting Me) Higher & Higher,['Jackie Wilson'],67,1,179120
20,"Juneteenth: Songs of Freedom, Voices of Change",Lean on Me,['Bill Withers'],71,5,258834
21,"Juneteenth: Songs of Freedom, Voices of Change",We The People....,['A Tribe Called Quest'],57,2,172013
22,"Juneteenth: Songs of Freedom, Voices of Change",One Love / People Get Ready - Medley,['Bob Marley & The Wailers'],75,10,172933
23,"Juneteenth: Songs of Freedom, Voices of Change",Keep On Pushing,['The Impressions'],42,1,155626
24,"Juneteenth: Songs of Freedom, Voices of Change",Strange Fruit,['Billie Holiday'],0,11,185373
25,"Juneteenth: Songs of Freedom, Voices of Change",A Change Is Gonna Come,['Sam Cooke'],55,1,191320
26,"Juneteenth: Songs of Freedom, Voices of Change",Freedom (feat. Kendrick Lamar),"['Beyoncé', 'Kendrick Lamar']",68,10,289760
27,"Juneteenth: Songs of Freedom, Voices of Change",Dancing In The Street - Stereo Version / Stereo,['Martha Reeves & The Vandellas'],33,5,158533
28,"Juneteenth: Songs of Freedom, Voices of Change",This Land,['Gary Clark Jr.'],56,1,341666
29,"Juneteenth: Songs of Freedom, Voices of Change",Everyday People,['Sly & The Family Stone'],66,6,141506
30,"Juneteenth: Songs of Freedom, Voices of Change",Freedom,['Richie Havens'],44,13,347023
31,"Juneteenth: Songs of Freedom, Voices of Change",U.N.I.T.Y.,['Queen Latifah'],52,5,251906
32,"Juneteenth: Songs of Freedom, Voices of Change",I Wish I Knew How It Would Feel to Be Free,['Nina Simone'],65,6,188613
33,"Juneteenth: Songs of Freedom, Voices of Change",Back Stabbers,"[""The O'Jays""]",30,2,184106
34,"Juneteenth: Songs of Freedom, Voices of Change",Fight the Power - Pt. 1 & 2,['The Isley Brothers'],43,13,318733
35,"Juneteenth: Songs of Freedom, Voices of Change",Eyes On The Prize,['Mavis Staples'],31,2,246293
36,"Juneteenth: Songs of Freedom, Voices of Change",Alright,['Kendrick Lamar'],73,7,219333
37,"Juneteenth: Songs of Freedom, Voices of Change",What's Going On,['Marvin Gaye'],62,1,236466
38,"Juneteenth: Songs of Freedom, Voices of Change","Take My Hand, Precious Lord",['Mahalia Jackson'],30,9,252400
39,"Juneteenth: Songs of Freedom, Voices of Change",Mississippi Goddam - Live In New York/1964,['Nina Simone'],0,7,296600
40,"Juneteenth: Songs of Freedom, Voices of Change",I Can't Breathe,['H.E.R.'],67,1,287321
41,"Juneteenth: Songs of Freedom, Voices of Change",Blowin' In The Wind - Single Version,['Stevie Wonder'],0,4,183626
42,"Juneteenth: Songs of Freedom, Voices of Change",Stand!,['Sly & The Family Stone'],37,1,187533
43,"Juneteenth: Songs of Freedom, Voices of Change",Freedom Blues,['Little Richard'],38,1,180960
44,"Juneteenth: Songs of Freedom, Voices of Change",Untitled,['Nas'],24,10,171333
45,"Juneteenth: Songs of Freedom, Voices of Change",Brown Eyed Handsome Man,['Chuck Berry'],0,7,137106
46,"Juneteenth: Songs of Freedom, Voices of Change","Hallelujah, I Love Her So",['Ray Charles'],62,8,155506
47,"Juneteenth: Songs of Freedom, Voices of Change",LAND OF THE FREE,['Joey Bada$$'],34,4,283689
48,"Juneteenth: Songs of Freedom, Voices of Change",Let's Stay Together,['Al Green'],0,1,199400
49,"Juneteenth: Songs of Freedom, Voices of Change",In the Stone,"['Earth, Wind & Fire']",56,1,288480
50,"Juneteenth: Songs of Freedom, Voices of Change",Fight The Power,['Public Enemy'],60,20,282640
51,"Juneteenth: Songs of Freedom, Voices of Change",Keep Ya Head Up,['2Pac'],42,1,263200
52,"Juneteenth: Songs of Freedom, Voices of Change",Give Up The Funk (Tear The Roof Off The Sucker),['Parliament'],62,6,348066
53,"Juneteenth: Songs of Freedom, Voices of Change",Lockdown,['Anderson .Paak'],73,1,212613
54,"Juneteenth: Songs of Freedom, Voices of Change",Think,['Aretha Franklin'],67,1,139733
55,"Juneteenth: Songs of Freedom, Voices of Change",Ship Ahoy,"[""The O'Jays""]",28,2,577066
56,"Juneteenth: Songs of Freedom, Voices of Change",Glory (From the Motion Picture Selma),"['Common', 'John Legend']",59,1,272727
57,"Juneteenth: Songs of Freedom, Voices of Change",The Message (feat. Melle Mel & Duke Bootee),"['Grandmaster Flash & The Furious Five', 'Grandmaster Melle Mel', 'Duke Bootee']",50,7,431800
58,"Juneteenth: Songs of Freedom, Voices of Change",Stand by Me,['Ben E. King'],78,7,180055
59,"Juneteenth: Songs of Freedom, Voices of Change",Freedom Time - Live,['Ms. Lauryn Hill'],36,7,299226
60,"Juneteenth: Songs of Freedom, Voices of Change",This Train,['Sister Rosetta Tharpe'],29,1,282813
61,"Juneteenth: Songs of Freedom, Voices of Change",You Haven't Done Nothin',['Stevie Wonder'],52,6,202706
62,"Juneteenth: Songs of Freedom, Voices of Change",Let Go,"['D Smoke', 'SiR']",60,1,291200
63,"Juneteenth: Songs of Freedom, Voices of Change",I Don't Want Nobody To Give Me Nothing (Open Up The Door I'll Get It Myself) - Pt. 1,['James Brown'],20,9,422293
64,"Juneteenth: Songs of Freedom, Voices of Change",Baltimore,['Prince'],32,1,273960
65,"Juneteenth: Songs of Freedom, Voices of Change",Stand Tall,['Childish Gambino'],54,11,370773
66,"Juneteenth: Songs of Freedom, Voices of Change",The Harder They Come,['Jimmy Cliff'],55,8,220533
67,"Juneteenth: Songs of Freedom, Voices of Change",Future Shock,['Curtis Mayfield'],29,5,218933
68,"Juneteenth: Songs of Freedom, Voices of Change",Rise Up,['Andra Day'],76,11,253342
69,Little Richard: Career Defining Playlist,Tutti Frutti,['Little Richard'],64,1,144226
70,Little Richard: Career Defining Playlist,Long Tall Sally (The Thing),['Little Richard'],62,7,127426
71,Little Richard: Career Defining Playlist,Ready Teddy,['Little Richard'],43,4,126680
72,Little Richard: Career Defining Playlist,Rip It Up,['Little Richard'],51,10,141400
73,Little Richard: Career Defining Playlist,Slippin’ And Slidin’ (Peepin’ And Hidin’),['Little Richard'],43,6,161786
74,Little Richard: Career Defining Playlist,"Jenny, Jenny",['Little Richard'],34,11,121946
75,Little Richard: Career Defining Playlist,The Girl Can't Help It,['Little Richard'],0,21,150200
76,Little Richard: Career Defining Playlist,Lucille,['Little Richard'],0,13,143826
77,Little Richard: Career Defining Playlist,Good Golly Miss Molly,['Little Richard'],0,20,129133
78,Little Richard: Career Defining Playlist,Keep A Knockin,['Little Richard'],0,24,136000
79,Little Richard: Career Defining Playlist,Ooh! My Soul,['Little Richard'],0,23,112306
80,Little Richard: Career Defining Playlist,"God Is Real (Yes, God Is Real) - Re-mastered Album Version",['Little Richard'],5,4,179866
81,Little Richard: Career Defining Playlist,Bama Lama Bama Loo,['Little Richard'],18,19,132853
82,Little Richard: Career Defining Playlist,Freedom Blues,['Little Richard'],38,1,180960
83,Little Richard: Career Defining Playlist,Great Gosh A'Mighty,['Little Richard'],32,1,289760
84,NEO Sound: Music of Northeast Ohio,Whip It,['DEVO'],65,3,161133
85,NEO Sound: Music of Northeast Ohio,Funk #49,['James Gang'],60,1,246293
86,NEO Sound: Music of Northeast Ohio,Sonic Reducer,['Dead Boys'],52,1,189333
